id,category,question,expected_behavior,reference_answer,source_hint,requires_sql_future,notes
SQL01,classement_simple,Quel joueur a marqué le plus de points cette saison ?,"Classement par points (maximum). Contrôlé OK, LLM devrait coïncider.",Shai Gilgeous-Alexander (2485 points).,SQL (data/nba.sqlite),no,Couvert par les deux modes ; comparer la valeur de tête.
SQL02,classement_simple,Quel joueur a capté le plus de rebonds cette saison ?,Classement par rebonds. Contrôlé OK.,Ivica Zubac (1008 rebonds).,SQL (data/nba.sqlite),no,Couvert par les deux modes.
SQL03,classement_simple,Quel joueur a délivré le plus de passes décisives ?,Classement par passes. Contrôlé OK.,Trae Young (882 passes).,SQL (data/nba.sqlite),no,Couvert par les deux modes.
SQL04,classement_simple,Quel joueur a réalisé le plus de contres ?,Classement par contres. Contrôlé OK.,Victor Wembanyama (175 contres).,SQL (data/nba.sqlite),no,Couvert par les deux modes.
SQL05,classement_simple,Quel joueur a réalisé le plus d'interceptions ?,Classement par interceptions. Contrôlé OK.,Dyson Daniels (228 interceptions).,SQL (data/nba.sqlite),no,Couvert par les deux modes.
SQL06,top_n,Donne les 10 meilleurs marqueurs de la saison.,Top 10 par points. Contrôlé renvoie un top 10.,"Top 10 points (1er : Shai Gilgeous-Alexander, 2485).",SQL (data/nba.sqlite),no,Comparer la composition du top 10.
SQL07,top_n,Quels sont les 5 meilleurs rebondeurs ?,Top 5 par rebonds. Contrôlé OK.,"Top 5 rebonds (1er : Ivica Zubac, 1008).",SQL (data/nba.sqlite),no,Comparer le top 5.
SQL08,top_n,Donne le top 10 des passeurs.,Top 10 par passes. Contrôlé OK.,"Top 10 passes (1er : Trae Young, 882).",SQL (data/nba.sqlite),no,Comparer le top 10.
SQL09,top_n,Quels sont les 5 meilleurs contreurs ?,Top 5 par contres. Contrôlé OK.,"Top 5 contres (1er : Victor Wembanyama, 175).",SQL (data/nba.sqlite),no,Comparer le top 5.
SQL10,stats_joueur,"Combien de points, de rebonds et de passes a réalisés Nikola Jokić ?",Fiche d'un joueur nommé (requête paramétrée). Contrôlé OK.,"Fiche de Nikola Jokić (Denver Nuggets) : points, rebonds, passes.",SQL (data/nba.sqlite),no,Comparer le contenu de la fiche.
