question_id,category,question,expected_behavior,controlled_route,controlled_answer,controlled_mode,llm_route,llm_answer,llm_sql,llm_should_query,llm_validation_status,llm_execution_status,comparison_note,status
SQL01,classement_simple,Quel joueur a marqué le plus de points cette saison ?,"Classement par points (maximum). Contrôlé OK, LLM devrait coïncider.",sql,"Joueurs avec le plus de points :
1. Joueur : Shai Gilgeous-Alexander, Équipe : Oklahoma City Thunder, Points : 2485
2. Joueur : Anthony Edwards, Équipe : Minnesota Timberwolves, Points : 2180
3. Joueur : Nikola Jokić, Équipe : Denver Nuggets, Points : 2072
4. Joueur : Giannis Antetokounmpo, Équipe : Milwaukee Bucks, Points : 2037
5. Joueur : Jayson Tatum, Équipe : Boston Celtics, Points : 1930",,sql,"1. Joueur : Shai Gilgeous-Alexander, Équipe : Oklahoma City Thunder, Points : 2485
2. Joueur : Anthony Edwards, Équipe : Minnesota Timberwolves, Points : 2180
3. Joueur : Nikola Jokić, Équipe : Denver Nuggets, Points : 2072
4. Joueur : Giannis Antetokounmpo, Équipe : Milwaukee Bucks, Points : 2037
5. Joueur : Jayson Tatum, Équipe : Boston Celtics, Points : 1930","SELECT p.player_name, t.team_name, s.points FROM stats s JOIN players p ON p.player_id = s.player_id JOIN teams t ON t.team_code = p.team_code ORDER BY s.points DESC LIMIT 10",True,ok,ok,Réponses cohérentes (même nombre et même nom propre détectés).,same
SQL02,classement_simple,Quel joueur a capté le plus de rebonds cette saison ?,Classement par rebonds. Contrôlé OK.,sql,"Joueurs avec le plus de rebonds :
1. Joueur : Ivica Zubac, Équipe : Los Angeles Clippers, Rebonds : 1008
2. Joueur : Domantas Sabonis, Équipe : Sacramento Kings, Rebonds : 973
3. Joueur : Karl-Anthony Towns, Équipe : New York Knicks, Rebonds : 922
4. Joueur : Nikola Jokić, Équipe : Denver Nuggets, Rebonds : 889
5. Joueur : Jalen Duren, Équipe : Detroit Pistons, Rebonds : 803",,sql,"1. Joueur : Ivica Zubac, Équipe : Los Angeles Clippers, Rebonds : 1008
2. Joueur : Domantas Sabonis, Équipe : Sacramento Kings, Rebonds : 973
3. Joueur : Karl-Anthony Towns, Équipe : New York Knicks, Rebonds : 922
4. Joueur : Nikola Jokić, Équipe : Denver Nuggets, Rebonds : 889
5. Joueur : Jalen Duren, Équipe : Detroit Pistons, Rebonds : 803","SELECT p.player_name, t.team_name, s.rebounds FROM stats s JOIN players p ON p.player_id = s.player_id JOIN teams t ON t.team_code = p.team_code ORDER BY s.rebounds DESC LIMIT 10",True,ok,ok,Réponses cohérentes (même nombre et même nom propre détectés).,same
SQL03,classement_simple,Quel joueur a délivré le plus de passes décisives ?,Classement par passes. Contrôlé OK.,sql,"Joueurs avec le plus de passes décisives :
1. Joueur : Trae Young, Équipe : Atlanta Hawks, Passes décisives : 882
2. Joueur : Nikola Jokić, Équipe : Denver Nuggets, Passes décisives : 714
3. Joueur : James Harden, Équipe : Los Angeles Clippers, Passes décisives : 687
4. Joueur : Tyrese Haliburton, Équipe : Indiana Pacers, Passes décisives : 672
5. Joueur : Cade Cunningham, Équipe : Detroit Pistons, Passes décisives : 637",,sql,"1. Joueur : Trae Young, Équipe : Atlanta Hawks, Passes décisives : 882
2. Joueur : Nikola Jokić, Équipe : Denver Nuggets, Passes décisives : 714
3. Joueur : James Harden, Équipe : Los Angeles Clippers, Passes décisives : 687
4. Joueur : Tyrese Haliburton, Équipe : Indiana Pacers, Passes décisives : 672
5. Joueur : Cade Cunningham, Équipe : Detroit Pistons, Passes décisives : 637","SELECT p.player_name, t.team_name, s.assists FROM stats s JOIN players p ON p.player_id = s.player_id JOIN teams t ON t.team_code = p.team_code ORDER BY s.assists DESC LIMIT 10",True,ok,ok,Réponses cohérentes (même nombre et même nom propre détectés).,same
SQL04,classement_simple,Quel joueur a réalisé le plus de contres ?,Classement par contres. Contrôlé OK.,sql,"Joueurs avec le plus de contres :
1. Joueur : Victor Wembanyama, Équipe : San Antonio Spurs, Contres : 175
2. Joueur : Brook Lopez, Équipe : Milwaukee Bucks, Contres : 152
3. Joueur : Myles Turner, Équipe : Indiana Pacers, Contres : 144
4. Joueur : Walker Kessler, Équipe : Utah Jazz, Contres : 139
5. Joueur : Evan Mobley, Équipe : Cleveland Cavaliers, Contres : 114",,sql,"1. Joueur : Victor Wembanyama, Équipe : San Antonio Spurs, Contres : 175
2. Joueur : Brook Lopez, Équipe : Milwaukee Bucks, Contres : 152
3. Joueur : Myles Turner, Équipe : Indiana Pacers, Contres : 144
4. Joueur : Walker Kessler, Équipe : Utah Jazz, Contres : 139
5. Joueur : Evan Mobley, Équipe : Cleveland Cavaliers, Contres : 114","SELECT p.player_name, t.team_name, s.blocks FROM stats s JOIN players p ON p.player_id = s.player_id JOIN teams t ON t.team_code = p.team_code ORDER BY s.blocks DESC LIMIT 10",True,ok,ok,Réponses cohérentes (même nombre et même nom propre détectés).,same
SQL05,classement_simple,Quel joueur a réalisé le plus d'interceptions ?,Classement par interceptions. Contrôlé OK.,sql,"Joueurs avec le plus de interceptions :
1. Joueur : Dyson Daniels, Équipe : Atlanta Hawks, Interceptions : 228
2. Joueur : Shai Gilgeous-Alexander, Équipe : Oklahoma City Thunder, Interceptions : 129
3. Joueur : Nikola Jokić, Équipe : Denver Nuggets, Interceptions : 126
4. Joueur : Kris Dunn, Équipe : Los Angeles Clippers, Interceptions : 126
5. Joueur : Cason Wallace, Équipe : Oklahoma City Thunder, Interceptions : 122",,sql,"1. Joueur : Dyson Daniels, Interceptions : 228
2. Joueur : Shai Gilgeous-Alexander, Interceptions : 129
3. Joueur : Nikola Jokić, Interceptions : 126
4. Joueur : Kris Dunn, Interceptions : 126
5. Joueur : Cason Wallace, Interceptions : 122","SELECT p.player_name, s.steals FROM stats s JOIN players p ON p.player_id = s.player_id ORDER BY s.steals DESC LIMIT 10",True,ok,ok,Réponses cohérentes (même nombre et même nom propre détectés).,same
SQL06,top_n,Donne les 10 meilleurs marqueurs de la saison.,Top 10 par points. Contrôlé renvoie un top 10.,sql,"Joueurs avec le plus de points :
1. Joueur : Shai Gilgeous-Alexander, Équipe : Oklahoma City Thunder, Points : 2485
2. Joueur : Anthony Edwards, Équipe : Minnesota Timberwolves, Points : 2180
3. Joueur : Nikola Jokić, Équipe : Denver Nuggets, Points : 2072
4. Joueur : Giannis Antetokounmpo, Équipe : Milwaukee Bucks, Points : 2037
5. Joueur : Jayson Tatum, Équipe : Boston Celtics, Points : 1930",,sql,"1. Joueur : Shai Gilgeous-Alexander, Équipe : Oklahoma City Thunder, Points : 2485
2. Joueur : Anthony Edwards, Équipe : Minnesota Timberwolves, Points : 2180
3. Joueur : Nikola Jokić, Équipe : Denver Nuggets, Points : 2072
4. Joueur : Giannis Antetokounmpo, Équipe : Milwaukee Bucks, Points : 2037
5. Joueur : Jayson Tatum, Équipe : Boston Celtics, Points : 1930","SELECT p.player_name, t.team_name, s.points FROM stats s JOIN players p ON p.player_id = s.player_id JOIN teams t ON t.team_code = p.team_code ORDER BY s.points DESC LIMIT 10",True,ok,ok,Réponses cohérentes (même nombre et même nom propre détectés).,same
SQL07,top_n,Quels sont les 5 meilleurs rebondeurs ?,Top 5 par rebonds. Contrôlé OK.,out_of_scope,"Je suis l'assistant NBA de SportSee : je réponds uniquement aux questions sur la NBA (joueurs, équipes, statistiques de la saison, discussions des fans). Votre question semble en dehors de ce périmètre. Reformulez-la sur la NBA et je vous répondrai avec plaisir.",,out_of_scope,"Je suis l'assistant NBA de SportSee : je réponds uniquement aux questions sur la NBA (joueurs, équipes, statistiques de la saison, discussions des fans). Votre question semble en dehors de ce périmètre. Reformulez-la sur la NBA et je vous répondrai avec plaisir.","SELECT p.player_name, t.team_name, s.rebounds FROM stats s JOIN players p ON p.player_id = s.player_id JOIN teams t ON t.team_code = p.team_code WHERE s.games_played >= 10 ORDER BY s.rebounds DESC LIMIT 5",True,ok,ok,Hors périmètre : refus des deux côtés (le routeur n'appelle pas le SQL).,same
SQL08,top_n,Donne le top 10 des passeurs.,Top 10 par passes. Contrôlé OK.,out_of_scope,"Je suis l'assistant NBA de SportSee : je réponds uniquement aux questions sur la NBA (joueurs, équipes, statistiques de la saison, discussions des fans). Votre question semble en dehors de ce périmètre. Reformulez-la sur la NBA et je vous répondrai avec plaisir.",,out_of_scope,"Je suis l'assistant NBA de SportSee : je réponds uniquement aux questions sur la NBA (joueurs, équipes, statistiques de la saison, discussions des fans). Votre question semble en dehors de ce périmètre. Reformulez-la sur la NBA et je vous répondrai avec plaisir.","SELECT p.player_name, t.team_name, s.assists FROM stats s JOIN players p ON p.player_id = s.player_id JOIN teams t ON t.team_code = p.team_code ORDER BY s.assists DESC LIMIT 10",True,ok,ok,Hors périmètre : refus des deux côtés (le routeur n'appelle pas le SQL).,same
SQL09,top_n,Quels sont les 5 meilleurs contreurs ?,Top 5 par contres. Contrôlé OK.,sql,"Joueurs avec le plus de contres :
1. Joueur : Victor Wembanyama, Équipe : San Antonio Spurs, Contres : 175
2. Joueur : Brook Lopez, Équipe : Milwaukee Bucks, Contres : 152
3. Joueur : Myles Turner, Équipe : Indiana Pacers, Contres : 144
4. Joueur : Walker Kessler, Équipe : Utah Jazz, Contres : 139
5. Joueur : Evan Mobley, Équipe : Cleveland Cavaliers, Contres : 114",,sql,"1. Joueur : Victor Wembanyama, Équipe : San Antonio Spurs, Contres : 175
2. Joueur : Brook Lopez, Équipe : Milwaukee Bucks, Contres : 152
3. Joueur : Myles Turner, Équipe : Indiana Pacers, Contres : 144
4. Joueur : Walker Kessler, Équipe : Utah Jazz, Contres : 139
5. Joueur : Evan Mobley, Équipe : Cleveland Cavaliers, Contres : 114","SELECT p.player_name, t.team_name, s.blocks FROM stats s JOIN players p ON p.player_id = s.player_id JOIN teams t ON t.team_code = p.team_code ORDER BY s.blocks DESC LIMIT 5",True,ok,ok,Réponses cohérentes (même nombre et même nom propre détectés).,same
SQL10,stats_joueur,"Combien de points, de rebonds et de passes a réalisés Nikola Jokić ?",Fiche d'un joueur nommé (requête paramétrée). Contrôlé OK.,sql,"Statistiques de Nikola Jokić :
1. Joueur : Nikola Jokić, Équipe : Denver Nuggets, Points : 2072, Rebonds : 889, Passes décisives : 714, 3P% : 41.7",,sql,"1. Joueur : Nikola Jokić, Points : 2072, Rebonds : 889, Passes décisives : 714","SELECT p.player_name, s.points, s.rebounds, s.assists FROM stats s JOIN players p ON p.player_id = s.player_id WHERE p.player_name = 'Nikola Jokić'",True,ok,ok,Réponses cohérentes (même nombre et même nom propre détectés).,same
